id,module,name,file,doc,markers,status,message,duration
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_001_valid_request,header_tag.test_trending_tag_api,test_tc_api_001_valid_request,header_tag/test_trending_tag_api.py,TC_API_001: Validasi request dengan X-API-Key yang valid,,passed,,0.18519145797472447
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_002_missing_api_key,header_tag.test_trending_tag_api,test_tc_api_002_missing_api_key,header_tag/test_trending_tag_api.py,TC_API_002: Validasi request tanpa header X-API-Key,,passed,,0.11616008298005909
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_003_invalid_api_key,header_tag.test_trending_tag_api,test_tc_api_003_invalid_api_key,header_tag/test_trending_tag_api.py,TC_API_003: Validasi request dengan X-API-Key salah/kadaluarsa,,passed,,0.10022220795508474
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_004_missing_client_id,header_tag.test_trending_tag_api,test_tc_api_004_missing_client_id,header_tag/test_trending_tag_api.py,TC_API_004: Validasi request tanpa parameter client_id,,passed,,0.1821864580269903
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_005_valid_client_id,header_tag.test_trending_tag_api,test_tc_api_005_valid_client_id,header_tag/test_trending_tag_api.py,TC_API_005: Validasi request dengan client_id valid dan unik,,passed,,0.21046879095956683
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_006_valid_page_mode_popular,header_tag.test_trending_tag_api,test_tc_api_006_valid_page_mode_popular,header_tag/test_trending_tag_api.py,TC_API_006: Validasi page_mode=popular menghasilkan data trending tag,,passed,,0.20484954200219363
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_007_invalid_page_mode,header_tag.test_trending_tag_api,test_tc_api_007_invalid_page_mode,header_tag/test_trending_tag_api.py,TC_API_007: Validasi page_mode selain 'popular',,passed,,0.14123779104556888
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_008_page_mode_case_sensitivity,header_tag.test_trending_tag_api,test_tc_api_008_page_mode_case_sensitivity,header_tag/test_trending_tag_api.py,TC_API_008: Validasi page_mode dengan huruf besar/kombinasi,,passed,,0.18729745806194842
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_009_missing_page_mode,header_tag.test_trending_tag_api,test_tc_api_009_missing_page_mode,header_tag/test_trending_tag_api.py,TC_API_009: Validasi request tanpa parameter page_mode,,passed,,0.21143987495452166
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_010_default_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_010_default_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_010: Validasi num_recommendation tidak dikirim menggunakan default,,passed,,0.22307049995288253
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_011_custom_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_011_custom_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_011: Validasi num_recommendation custom (kurang dari default),,passed,,0.1910281250020489
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_012_max_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_012_max_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_012: Validasi num_recommendation pada nilai maksimal (boundary),,passed,,0.21583295799791813
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_013_exceed_max_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_013_exceed_max_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_013: Validasi num_recommendation melebihi batas maksimal,,passed,,0.15592512500006706
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_014_zero_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_014_zero_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_014: Validasi num_recommendation = 0 tetap mengembalikan default tag,,passed,,0.11829825001768768
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_015_negative_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_015_negative_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_015: Validasi num_recommendation bernilai negatif,,passed,,0.1108937079552561
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_016_missing_source_url,header_tag.test_trending_tag_api,test_tc_api_016_missing_source_url,header_tag/test_trending_tag_api.py,TC_API_016: Validasi request dari Mobile App tidak mengirim source_url,,passed,,0.16083633399102837
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_017_with_source_url,header_tag.test_trending_tag_api,test_tc_api_017_with_source_url,header_tag/test_trending_tag_api.py,TC_API_017: Validasi request yang tetap mengirim source_url tetap HTTP 200,,passed,,0.20315112499520183
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_018_high_similarity_score,header_tag.test_trending_tag_api,test_tc_api_018_high_similarity_score,header_tag/test_trending_tag_api.py,TC_API_018: Validasi similarity_score dengan nilai custom lebih tinggi (lebih ketat),,passed,,0.1789661250077188
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_019_low_similarity_score,header_tag.test_trending_tag_api,test_tc_api_019_low_similarity_score,header_tag/test_trending_tag_api.py,TC_API_019: Validasi similarity_score dengan nilai custom lebih rendah (lebih longgar),,passed,,0.18248545902315527
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_resp_001_response_structure,header_tag.test_trending_tag_api,test_tc_resp_001_response_structure,header_tag/test_trending_tag_api.py,TC_RESP_001: Validasi struktur response sesuai kontrak API,,passed,,0.17048483295366168
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_resp_002_valid_tag_url,header_tag.test_trending_tag_api,test_tc_resp_002_valid_tag_url,header_tag/test_trending_tag_api.py,TC_RESP_002: Validasi setiap tag_url mengarah ke halaman tag yang valid,,passed,,0.2547958749346435
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_resp_003_fallback_from_redis,header_tag.test_trending_tag_api,test_tc_resp_003_fallback_from_redis,header_tag/test_trending_tag_api.py,TC_RESP_003: Validasi sistem mengambil data dari Redis saat database utama gagal,,passed,,0.17255358304828405
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_filter_002_blacklisted_tag_not_in_result,header_tag.test_trending_tag_api,test_tc_filter_002_blacklisted_tag_not_in_result,header_tag/test_trending_tag_api.py,TC_FILTER_002: Validasi tag yang termasuk daftar dilarang (blacklist) tidak muncul.,,passed,,0.22633054200559855
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_resp_005_response_time_sla,header_tag.test_trending_tag_api,test_tc_resp_005_response_time_sla,header_tag/test_trending_tag_api.py,TC_RESP_005: Validasi response time API trending tag berada dalam batas SLA (400ms),,passed,,0.1984109589830041
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_thumb_001_valid_foto_url,header_tag.test_trending_tag_api,test_tc_thumb_001_valid_foto_url,header_tag/test_trending_tag_api.py,TC_THUMB_001: Validasi setiap trending tag memiliki foto_url/foto yang valid,,passed,,0.2072759170550853
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_thumb_002_no_empty_foto_url,header_tag.test_trending_tag_api,test_tc_thumb_002_no_empty_foto_url,header_tag/test_trending_tag_api.py,TC_THUMB_002: Validasi tidak ada foto_url yang kosong/null pada hasil trending tag,,passed,,0.18562391703017056
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_thumb_003_no_duplicate_foto_url,header_tag.test_trending_tag_api,test_tc_thumb_003_no_duplicate_foto_url,header_tag/test_trending_tag_api.py,TC_THUMB_003: Validasi tidak ada foto_url yang duplikat dalam satu response,,passed,,0.1739269170211628
