id,module,name,file,doc,markers,status,message,duration
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_001_valid_request,header_tag.test_trending_tag_api,test_tc_api_001_valid_request,header_tag/test_trending_tag_api.py,TC_API_001: Validasi request dengan X-API-Key yang valid,,passed,,0.19450754194986075
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_002_missing_api_key,header_tag.test_trending_tag_api,test_tc_api_002_missing_api_key,header_tag/test_trending_tag_api.py,TC_API_002: Validasi request tanpa header X-API-Key,,passed,,0.14749299990944564
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_003_invalid_api_key,header_tag.test_trending_tag_api,test_tc_api_003_invalid_api_key,header_tag/test_trending_tag_api.py,TC_API_003: Validasi request dengan X-API-Key salah/kadaluarsa,,passed,,0.16698720795102417
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_004_missing_client_id,header_tag.test_trending_tag_api,test_tc_api_004_missing_client_id,header_tag/test_trending_tag_api.py,TC_API_004: Validasi request tanpa parameter client_id,,passed,,0.22343041596468538
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_005_valid_client_id,header_tag.test_trending_tag_api,test_tc_api_005_valid_client_id,header_tag/test_trending_tag_api.py,TC_API_005: Validasi request dengan client_id valid dan unik,,passed,,0.19960833305958658
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_006_valid_page_mode_popular,header_tag.test_trending_tag_api,test_tc_api_006_valid_page_mode_popular,header_tag/test_trending_tag_api.py,TC_API_006: Validasi page_mode=popular menghasilkan data trending tag,,passed,,0.21299683290999383
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_007_invalid_page_mode,header_tag.test_trending_tag_api,test_tc_api_007_invalid_page_mode,header_tag/test_trending_tag_api.py,TC_API_007: Validasi page_mode selain 'popular',,passed,,0.17805300001055002
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_008_page_mode_case_sensitivity,header_tag.test_trending_tag_api,test_tc_api_008_page_mode_case_sensitivity,header_tag/test_trending_tag_api.py,TC_API_008: Validasi page_mode dengan huruf besar/kombinasi,,passed,,0.2071897080168128
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_009_missing_page_mode,header_tag.test_trending_tag_api,test_tc_api_009_missing_page_mode,header_tag/test_trending_tag_api.py,TC_API_009: Validasi request tanpa parameter page_mode,,passed,,0.2439020419260487
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_010_default_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_010_default_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_010: Validasi num_recommendation tidak dikirim menggunakan default,,passed,,0.16616550006438047
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_011_custom_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_011_custom_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_011: Validasi num_recommendation custom (kurang dari default),,passed,,0.14848758396692574
